,dataset_name,algorithm_name,accuracy,TPR,FPR,precision,roc_auc,PR_curve,training_time,inference_time
0,acute-inflammation,Xgboost,0.0,0.0,0,0.0,,1.0,0.10693883895874023,2.2490620613098145
1,acute-nephritis,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10194158554077148,2.4982690811157227
2,analcatdata_asbestos,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10993647575378418,2.498745918273926
3,analcatdata_boxing1,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10394096374511719,2.248704433441162
4,analcatdata_broadwaymult,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11193585395812988,2.248823642730713
5,analcatdata_germangss,Xgboost,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.25,0.10094285011291504,2.248823642730713
6,analcatdata_lawsuit,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.12692832946777344,2.248704433441162
7,annealing,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10494041442871094,2.4986863136291504
8,ar4,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.11193633079528809,2.498626708984375
9,arrhythmia,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10693836212158203,2.248823642730713
10,audiology-std,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11393499374389648,2.2487640380859375
11,autos,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.10094213485717773,2.498924732208252
12,balance-scale,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.11093616485595703,2.4985671043395996
13,bank,Xgboost,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.25,0.10593843460083008,2.4986863136291504
14,baseball,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10993671417236328,2.4989843368530273
15,blood,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10194182395935059,2.249002456665039
16,bodyfat,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.14591646194458008,1.9987821578979492
17,braziltourism,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.12992572784423828,2.498626708984375
18,breast-cancer,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.16990184783935547,2.4988651275634766
19,breast-cancer-wisc,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.13292455673217773,2.2486448287963867
20,breast-cancer-wisc-diag,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.13991761207580566,1.9992589950561523
21,breast-cancer-wisc-prog,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.12792634963989258,2.2489428520202637
22,breast-tissue,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.13991928100585938,1.9989609718322754
23,car,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.12892699241638184,1.998603343963623
24,cardiotocography-10clases,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.13692116737365723,2.7486085891723633
25,cardiotocography-3clases,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.12992572784423828,1.999199390411377
26,chatfield_4,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10893726348876953,2.2493600845336914
27,chess-krvkp,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10194182395935059,2.498805522918701
28,chscase_vine1,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11093592643737793,2.2486448287963867
29,cloud,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10194206237792969,2.4988651275634766
30,congressional-voting,Xgboost,0.75,1.0,0.3333333333333333,0.5,1.0,1.0,0.11193680763244629,2.498745918273926
31,conn-bench-sonar-mines-rocks,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10294175148010254,2.2485852241516113
32,conn-bench-vowel-deterding,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10294246673583984,2.2482872009277344
33,contrac,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11093616485595703,2.249002456665039
34,credit-approval,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10194110870361328,2.24912166595459
35,cylinder-bands,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11193513870239258,2.498805522918701
36,dermatology,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10294151306152344,2.498745918273926
37,diabetes,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11393499374389648,2.2489428520202637
38,diggle_table_a2,Xgboost,0.25,0.0,0.0,0.0,0.6666666666666666,0.9027777777777777,0.10194182395935059,2.2491812705993652
39,disclosure_z,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10993623733520508,2.2486448287963867
40,echocardiogram,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10394001007080078,2.2488832473754883
41,ecoli,Xgboost,0.75,1.0,0.3333333333333333,0.5,1.0,1.0,0.11193585395812988,2.498328685760498
42,elusage,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10194253921508789,2.498328685760498
43,energy-y1,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10194182395935059,2.2488832473754883
44,energy-y2,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.12692666053771973,2.998530864715576
45,fertility,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11993551254272461,2.4979710578918457
46,flags,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11993050575256348,2.7483105659484863
47,fri_c0_250_5,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11993193626403809,1.9985437393188477
48,glass,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.11893200874328613,2.2487640380859375
49,haberman-survival,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.11593365669250488,2.2492408752441406
50,hayes-roth,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.12592864036560059,2.2485852241516113
51,heart-cleveland,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11593341827392578,2.249002456665039
52,heart-hungarian,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.12692713737487793,2.248525619506836
53,heart-switzerland,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11693334579467773,2.7486085891723633
54,heart-va,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11693382263183594,3.2480359077453613
55,hepatitis,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.11193609237670898,2.7484893798828125
56,hill-valley,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10593891143798828,2.2487640380859375
57,horse-colic,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10094237327575684,2.248704433441162
58,ilpd-indian-liver,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.11293530464172363,2.249002456665039
59,image-segmentation,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10094189643859863,2.2488832473754883
60,ionosphere,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.11093711853027344,2.498924732208252
61,iris,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10194158554077148,2.2487640380859375
62,kc3,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11593317985534668,2.249002456665039
63,kidney,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10294079780578613,2.249002456665039
64,led-display,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11093759536743164,2.2485852241516113
65,libras,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10393786430358887,2.24912166595459
66,low-res-spect,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11193585395812988,1.999497413635254
67,lowbwt,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10194158554077148,2.248704433441162
68,lung-cancer,Xgboost,0.5,0.0,0.0,0.0,0.75,0.7916666666666666,0.11093759536743164,1.9989013671875
69,lupus,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.1019439697265625,2.498507499694824
70,lymphography,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.10993695259094238,2.249002456665039
71,mammographic,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10294175148010254,2.2490620613098145
72,meta,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.11393523216247559,2.248406410217285
73,mfeat-karhunen,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10094261169433594,2.2485852241516113
74,mfeat-morphological,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10993671417236328,2.248704433441162
75,molec-biol-promoter,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10294151306152344,2.498924732208252
76,molec-biol-splice,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.10893869400024414,2.498447895050049
77,monks-1,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10294127464294434,2.2490620613098145
78,monks-2,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10993695259094238,2.2487640380859375
79,monks-3,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10194158554077148,2.2489428520202637
80,mushroom,Xgboost,0.75,1.0,0.3333333333333333,0.5,0.6666666666666667,0.25,0.11093544960021973,2.2490620613098145
81,newton_hema,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10693883895874023,2.4988651275634766
82,no2,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10294294357299805,2.248525619506836
83,oocytes_merluccius_nucleus_4d,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.11893057823181152,2.249300479888916
84,oocytes_merluccius_states_2f,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10194230079650879,2.4988651275634766
85,oocytes_trisopterus_nucleus_2f,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.10993719100952148,2.2491812705993652
86,oocytes_trisopterus_states_5b,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10294032096862793,2.2489428520202637
87,ozone,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.11093759536743164,2.2487640380859375
88,parkinsons,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10094308853149414,2.4986863136291504
89,pima,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.11193561553955078,2.4989843368530273
90,pittsburg-bridges-MATERIAL,Xgboost,0.5,0.0,0.3333333333333333,0.0,0.0,0.125,0.10094261169433594,2.248704433441162
91,pittsburg-bridges-REL-L,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10893774032592773,2.4986863136291504
92,pittsburg-bridges-SPAN,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10294127464294434,2.2487640380859375
93,pittsburg-bridges-TYPE,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10893750190734863,2.498626708984375
94,planning,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10194206237792969,2.248823642730713
95,plasma_retinol,Xgboost,0.25,0.0,0.6666666666666666,0.0,0.33333333333333337,0.16666666666666666,0.10993576049804688,2.4988651275634766
96,pm10,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10294127464294434,2.249002456665039
97,post-operative,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10094165802001953,2.748429775238037
98,prnn_synth,Xgboost,0.5,0.0,0.3333333333333333,0.0,0.0,0.125,0.10893774032592773,2.2488832473754883
99,rabe_131,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10194230079650879,2.2486448287963867
100,rmftsa_sleepdata,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10194063186645508,2.2490620613098145
101,schizo,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.11093711853027344,2.2486448287963867
102,schlvote,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10094165802001953,2.2493600845336914
103,seeds,Xgboost,0.5,0.0,0.3333333333333333,0.0,0.6666666666666667,0.25,0.11293601989746094,2.4985671043395996
104,semeion,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10394072532653809,2.998471260070801
105,sleuth_case2002,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10294103622436523,2.498626708984375
106,socmob,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10893821716308594,2.2489428520202637
107,soybean,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10194206237792969,2.4983882904052734
108,spambase,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10993671417236328,2.249002456665039
109,spect,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10294151306152344,2.2487640380859375
110,spectf,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11193537712097168,2.2489428520202637
111,squash-stored,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10294151306152344,2.248823642730713
112,squash-unstored,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10993671417236328,2.24912166595459
113,statlog-australian-credit,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10294008255004883,2.4989843368530273
114,statlog-german-credit,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11793136596679688,2.2490620613098145
115,statlog-image,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10094141960144043,2.248704433441162
116,statlog-vehicle,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10893750190734863,3.7480592727661133
117,steel-plates,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.1319260597229004,2.248227596282959
118,synthetic-control,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.13192296028137207,2.2486448287963867
119,tae,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.13192462921142578,2.248823642730713
120,teaching,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.19089007377624512,2.2488832473754883
121,teachingAssistant,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.17290019989013672,2.7489066123962402
122,tic-tac-toe,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.17989730834960938,2.7484893798828125
123,titanic,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.16390514373779297,2.2487640380859375
124,transplant,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.12792587280273438,2.2489428520202637
125,triazines,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.13592290878295898,2.2482872009277344
126,vertebral-column-2clases,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11793112754821777,2.248704433441162
127,vertebral-column-3clases,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.11093711853027344,2.2487640380859375
128,veteran,Xgboost,0.75,0.0,0.0,0.0,0.6666666666666667,0.25,0.10293960571289062,2.248823642730713
129,visualizing_livestock,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11093521118164062,2.2489428520202637
130,vote,Xgboost,0.75,0.0,0.0,0.0,0.33333333333333337,0.16666666666666666,0.10094261169433594,2.2488832473754883
131,wall-following,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.11093640327453613,2.249002456665039
132,waveform,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10194110870361328,2.498626708984375
133,waveform-noise,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.11193656921386719,2.498745918273926
134,white-clover,Xgboost,0.75,0.0,0.0,0.0,0.0,0.125,0.10294055938720703,2.498805522918701
135,wine,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.11793184280395508,2.498924732208252
136,wine-quality-white,Xgboost,0.75,0.0,0.0,0.0,1.0,1.0,0.10094261169433594,2.498507499694824
137,yeast,Xgboost,0.75,0.0,0.0,0.0,0.8333333333333334,0.75,0.11193394660949707,2.2489428520202637
138,zoo,Xgboost,0.25,0.0,0.0,0.0,0.6666666666666666,0.9027777777777777,0.10294103622436523,2.248704433441162
